НомерСделки,ДатаСделки,КолвоСчетов,НомерСчета,ДатаСчета,Сумма
CR045129,4024-04-15 15:46:48,87,CR064482,4024-04-15 19:25:12,10110.0
CR045129,4024-04-15 15:46:48,87,CR064511,4024-04-16 13:06:51,0.0
CR045129,4024-04-15 15:46:48,87,CR065379,4024-05-02 12:58:12,0.0
CR045129,4024-04-15 15:46:48,87,CR065493,4024-05-03 11:58:39,4670.0
CR045129,4024-04-15 15:46:48,87,CR065494,4024-05-03 11:59:28,160.0
CR045129,4024-04-15 15:46:48,87,CR065674,4024-05-07 18:14:21,0.0
CR045129,4024-04-15 15:46:48,87,CR065705,4024-05-08 19:12:12,0.0
CR045129,4024-04-15 15:46:48,87,CR065853,4024-05-14 13:58:08,43525.0
CR045129,4024-04-15 15:46:48,87,CR066070,4024-05-21 10:45:52,8370.0
CR045129,4024-04-15 15:46:48,87,CR067451,4024-06-18 10:41:47,11310.0
CR045129,4024-04-15 15:46:48,87,CR067511,4024-06-18 17:37:06,0.0
CR045129,4024-04-15 15:46:48,87,CR067824,4024-06-25 18:13:01,12950.0
CR045129,4024-04-15 15:46:48,87,CR067836,4024-06-26 11:28:14,11495.0
CR045129,4024-04-15 15:46:48,87,CR068135,4024-07-01 18:52:23,29820.0
CR045129,4024-04-15 15:46:48,87,CR068588,4024-07-08 14:44:28,5980.0
CR045129,4024-04-15 15:46:48,87,CR068589,4024-07-08 14:44:31,120.0
CR045129,4024-04-15 15:46:48,87,CR068687,4024-07-10 11:06:12,1900.0
CR045129,4024-04-15 15:46:48,87,CR068827,4024-07-12 15:47:57,140.0
CR045129,4024-04-15 15:46:48,87,CR069015,4024-07-17 12:49:38,50.0
CR045129,4024-04-15 15:46:48,87,CR069399,4024-07-25 19:37:57,13150.0
CR045129,4024-04-15 15:46:48,87,CR069676,4024-07-30 17:36:46,21845.0
CR045129,4024-04-15 15:46:48,87,CR069682,4024-07-30 17:41:57,50.0
CR045129,4024-04-15 15:46:48,87,CR070465,4024-08-09 12:39:36,19700.0
CR045129,4024-04-15 15:46:48,87,CR070466,4024-08-09 12:39:44,1520.0
CR045129,4024-04-15 15:46:48,87,CR070467,4024-08-09 12:39:51,5870.0
CR045129,4024-04-15 15:46:48,87,CR070468,4024-08-09 12:39:58,240.0
CR045129,4024-04-15 15:46:48,87,CR071179,4024-08-28 13:14:28,6800.0
